Symbol,Signal_Type,Signal_Date,Signal_Price,Win_Rate,Number_Of_Trades,Win_Rate_Display,Today_Price,Exit_Signal_Raw,Function,Interval,PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit,Strategy_CAGR,Strategy_Sharpe,TrendPulse_Start_End,TrendPulse_Start_Price,TrendPulse_End_Price,Exit_Date,Exit_Price,Dedup_Key
CHAMBLFERT.NS,Long,2026-02-09,444.8,81.82,33,81.82%,466.6000061035156,2026-02-16 (Price: 450.2),Trendline,Daily,9.462231,20.0,5864100000.0,5363700000.0,19.51,0.6,2026-01-05 (Price: 487.0)/2026-02-09 (Price: 423.7),487.0,423.7,2026-02-16,450.2,Trendline|CHAMBLFERT.NS|2026-02-09|Long|Daily
SUNTV.NS,Long,2026-01-23,563.95,92.31,26,92.31%,610.5,2026-02-16 (Price: 570.5),Trendline,Daily,14.720558,20.0,3240600000.0,3634200000.0,13.17,0.37,2024-07-15 (Price: 823.45)/2026-01-23 (Price: 544.3314),823.45,544.3314,2026-02-16,570.5,Trendline|SUNTV.NS|2026-01-23|Long|Daily
