,Open,High,Low,Close,Volume
2016-09-23 03:45:00,920.0,931.4500122070312,860.0999755859375,869.0,8014800
2016-09-26 03:45:00,860.0,877.75,855.1500244140625,870.6500244140625,881599
2016-09-27 03:45:00,872.2999877929688,874.8499755859375,860.0,861.6500244140625,166160
2016-09-28 03:45:00,863.0,868.7000122070312,859.0,863.5,190573
2016-09-29 03:45:00,863.75,867.5,833.5499877929688,845.9000244140625,367348
2016-09-30 03:45:00,844.9500122070312,854.9500122070312,837.5,847.1500244140625,95427
2016-10-03 03:45:00,847.5,852.0499877929688,840.0999755859375,846.6500244140625,66731
2016-10-04 03:45:00,844.9500122070312,847.5,830.1500244140625,833.5,82996
2016-10-05 03:45:00,833.0,836.7000122070312,823.75,826.8499755859375,56541
2016-10-06 03:45:00,827.5,844.0,827.5,840.5999755859375,88139
2016-10-07 03:45:00,842.5,846.5999755859375,830.0999755859375,832.5999755859375,38794
2016-10-10 03:45:00,834.2000122070312,854.9000244140625,830.2000122070312,849.2999877929688,77295
2016-10-13 03:45:00,848.9500122070312,849.2999877929688,841.7000122070312,846.2999877929688,44221
2016-10-14 03:45:00,846.75,854.7999877929688,840.0499877929688,851.6500244140625,39648
2016-10-17 03:45:00,849.9500122070312,855.2999877929688,842.5499877929688,853.0,27319
2016-10-18 03:45:00,853.9000244140625,855.0,850.0499877929688,853.4500122070312,21776
2016-10-19 03:45:00,855.7000122070312,864.9500122070312,853.0499877929688,855.2000122070312,77476
2016-10-20 03:45:00,857.5,862.0,852.5,860.25,52574
2016-10-21 03:45:00,861.9500122070312,861.9500122070312,850.0,852.6500244140625,113473
2016-10-24 03:45:00,854.8499755859375,854.8499755859375,846.9000244140625,850.6500244140625,49610
2016-10-25 03:45:00,850.0499877929688,852.0,845.0,846.3499755859375,111286
2016-10-26 03:45:00,847.5,847.5,840.0499877929688,843.5999755859375,36760
2016-10-27 03:45:00,840.0499877929688,850.0,832.0499877929688,838.7999877929688,31682
2016-10-28 03:45:00,834.9500122070312,835.0999755859375,823.0,828.0999755859375,51421
2016-11-01 03:45:00,830.0499877929688,834.6500244140625,816.0,821.2000122070312,69602
2016-11-02 03:45:00,819.5,819.9500122070312,801.0,808.1500244140625,125959
2016-11-03 03:45:00,808.2000122070312,812.0499877929688,782.5,789.2000122070312,219258
2016-11-04 03:45:00,789.0,794.8499755859375,761.5499877929688,766.4000244140625,71958
2016-11-07 03:45:00,765.0,780.6500244140625,763.0499877929688,772.5499877929688,56201
2016-11-08 03:45:00,770.0,785.0,770.0,784.0499877929688,34352
2016-11-09 03:45:00,760.0,785.0,751.0,784.3499755859375,88918
2016-11-10 03:45:00,787.5,807.9000244140625,786.0,789.7999877929688,33017
2016-11-11 03:45:00,792.0,794.9500122070312,771.0,784.5,102981
2016-11-15 03:45:00,784.0,784.0,751.0,753.0,41828
2016-11-16 03:45:00,760.0,766.9500122070312,750.0,755.2000122070312,89026
2016-11-17 03:45:00,764.9000244140625,768.25,754.5,755.25,34335
2016-11-18 03:45:00,755.2000122070312,824.4500122070312,755.2000122070312,815.7999877929688,98898
2016-11-21 03:45:00,810.0,813.0,770.0,791.7999877929688,24715
2016-11-22 03:45:00,806.0,816.5,780.0499877929688,813.0,20675
2016-11-23 03:45:00,819.2000122070312,820.9500122070312,805.0,811.7000122070312,63635
2016-11-24 03:45:00,809.4000244140625,833.0,799.7999877929688,830.0999755859375,34354
2016-11-25 03:45:00,820.0,855.0,820.0,850.4000244140625,55400
2016-11-28 03:45:00,853.0,854.9000244140625,842.4500122070312,847.8499755859375,22496
2016-11-29 03:45:00,854.9500122070312,857.5,848.1500244140625,854.0,98194
2016-11-30 03:45:00,853.2999877929688,867.0,845.0499877929688,860.5999755859375,27306
2016-12-01 03:45:00,860.0,861.9500122070312,844.0,859.1500244140625,125086
2016-12-02 03:45:00,859.5,859.5,841.0,845.1500244140625,37092
2016-12-05 03:45:00,856.0,856.0,843.9500122070312,849.5499877929688,17350
2016-12-06 03:45:00,847.5,852.5,840.0499877929688,845.7999877929688,113804
2016-12-07 03:45:00,839.0999755859375,851.4500122070312,839.0999755859375,847.9500122070312,12658
2016-12-08 03:45:00,850.0,852.1500244140625,840.0499877929688,844.5999755859375,21888
2016-12-09 03:45:00,842.0,851.2000122070312,840.0499877929688,849.7000122070312,47462
2016-12-12 03:45:00,850.0,850.0,835.0,836.3499755859375,15969
2016-12-13 03:45:00,839.0499877929688,839.8499755859375,781.0,798.0499877929688,280525
2016-12-14 03:45:00,798.0,802.0,781.5499877929688,790.2000122070312,22506
2016-12-15 03:45:00,797.9000244140625,804.0,788.0499877929688,796.4000244140625,12368
2016-12-16 03:45:00,796.0999755859375,804.9500122070312,793.9500122070312,800.4000244140625,17562
2016-12-19 03:45:00,800.0,814.9500122070312,785.3499755859375,794.75,15898
